Gameweek,Harry Kane,Patrik Schick,Serhou Guirassy,Jonathan Burkardt,Tim Kleindienst,Ermedin Demirovic,Hugo Ekitike,Omar Marmoush,Benjamin Sesko,Jamal Musiala
1,0,0,0,0,1,1,0,0,0,1
2,1,0,0,1,2,1,1,1,0,1
3,4,0,0,1,2,3,1,3,0,2
4,5,0,1,3,2,4,1,4,0,3
5,5,0,3,3,2,4,1,6,2,3
6,5,0,3,5,3,5,2,8,2,3
7,8,0,4,5,5,5,2,9,2,3
8,9,0,4,5,6,5,2,9,2,4
9,11,0,5,5,6,5,4,10,3,4
10,11,1,6,6,6,5,5,11,3,5
11,14,4,6,7,7,5,5,11,3,5
12,14,5,6,9,8,7,6,13,3,6
13,14,5,6,10,8,7,7,13,4,8
14,14,5,6,10,9,7,7,13,5,8
15,14,9,6,10,9,7,7,13,6,9
16,15,11,7,12,9,7,7,14,7,9
17,16,11,7,12,9,7,8,15,8,9
18,16,12,7,12,10,8,9,15,8,9
19,17,13,8,12,11,8,11,15,8,9
20,19,14,9,12,12,8,11,15,8,10
21,21,14,9,12,13,8,12,15,9,10
22,21,14,9,13,14,8,12,15,9,10
23,21,15,13,13,14,8,12,15,10,11
24,21,16,14,14,14,8,13,15,10,11
25,21,16,14,14,14,9,13,15,10,11
26,21,17,14,15,15,10,13,15,10,11
27,22,17,14,15,15,10,13,15,10,11
28,23,17,15,15,15,13,13,15,11,12
29,23,17,15,15,15,13,14,15,11,12
30,24,18,16,15,15,13,14,15,12,12
31,24,19,17,15,15,13,15,15,12,12
32,24,19,19,16,16,13,15,15,13,12
33,25,19,20,17,16,14,15,15,13,12
34,26,21,21,18,16,15,15,15,13,12
