Gameweek,Viktor Gyökeres,Vangelis Pavlidis,Samuel Aghehowa,Clayton,Kerem Akturkoglu,Yanis Begraoui,Alejandro Marques,Ricardo Horta,Rodrigo Mora,Cassiano
1,1,0,0,1,0,0,1,0,0,0
2,3,1,0,1,0,0,1,0,0,0
3,6,1,0,1,0,0,1,0,0,0
4,7,1,0,2,0,0,1,0,0,0
5,8,1,1,2,1,0,1,0,0,0
6,10,2,3,3,1,0,2,0,0,1
7,10,2,4,3,2,0,2,1,0,2
8,11,2,4,3,5,0,2,1,0,2
9,12,3,7,3,5,0,3,1,1,2
10,16,3,7,4,5,0,3,1,1,3
11,16,3,8,5,5,0,3,3,1,4
12,16,3,9,6,6,0,4,3,1,4
13,17,3,10,6,6,0,5,3,1,4
14,18,3,10,7,6,0,5,5,1,5
15,18,4,11,7,6,0,5,5,2,5
16,18,4,13,9,6,0,6,5,3,5
17,21,4,13,9,6,1,7,5,3,5
18,22,4,13,9,6,2,7,5,3,5
19,22,4,13,10,6,2,7,6,3,6
20,22,5,13,11,6,3,7,7,3,6
21,22,7,13,11,6,5,7,7,3,7
22,22,7,13,11,6,5,7,7,3,8
23,23,8,13,11,6,6,7,7,3,8
24,25,9,14,12,6,6,7,7,3,8
25,27,10,14,12,7,6,8,8,3,8
26,28,10,14,13,7,6,9,8,4,8
27,30,11,15,13,9,7,9,9,5,9
28,31,14,16,13,9,7,9,9,5,9
29,31,15,16,13,9,7,9,10,6,9
30,34,17,16,13,9,7,9,10,8,9
31,38,18,16,13,10,8,10,10,8,10
32,38,18,18,14,10,8,10,11,8,10
33,38,18,18,14,11,8,11,11,9,10
34,39,19,19,14,11,11,11,11,10,10
