Gameweek,Ousmane Dembele,Mason Greenwood,Arnaud Kalimuendo,Jonathan David,Alexandre Lacazette,Bradley Barcola,Emanuel Emegha,Amine Gouiri,Ludovic Ajorque,Mika Biereth
1,1,2,0,1,0,1,0,1,0,0
2,1,3,0,1,0,3,1,1,0,0
3,1,5,0,1,0,4,2,1,1,0
4,3,5,1,1,0,4,2,1,1,0
5,4,5,2,2,0,4,3,1,1,0
6,4,5,3,5,0,6,3,1,1,0
7,4,5,3,5,0,6,3,1,2,0
8,4,6,3,5,1,7,3,1,2,0
9,4,6,3,6,1,8,3,1,2,0
10,5,7,3,7,1,8,3,1,2,0
11,5,8,3,7,2,10,3,1,2,0
12,5,8,3,7,2,10,3,1,3,0
13,5,9,6,9,5,10,3,2,3,0
14,5,10,6,11,5,10,3,2,4,0
15,6,10,6,11,5,10,3,2,4,0
16,8,10,7,11,5,10,4,2,4,0
17,10,11,8,11,5,10,6,2,5,0
18,10,12,8,11,5,11,7,2,6,0
19,11,12,8,11,5,11,8,3,7,1
20,14,13,8,12,6,11,8,3,8,4
21,16,13,9,12,6,11,9,3,9,4
22,16,14,9,12,7,11,10,5,10,7
23,17,14,10,12,7,11,10,5,10,7
24,18,15,11,13,9,12,11,6,10,10
25,20,15,11,14,9,13,11,6,10,10
26,21,15,11,14,10,13,11,7,10,11
27,21,15,13,14,10,13,12,7,10,12
28,21,16,13,14,11,13,12,7,10,12
29,21,16,14,14,12,13,13,7,12,12
30,21,18,14,16,12,13,13,7,12,12
31,21,18,14,16,13,13,14,10,12,13
32,21,18,15,16,13,14,14,11,12,13
33,21,19,17,16,13,14,14,13,13,13
34,21,21,17,16,15,14,14,13,13,13
