Gameweek,Ousmane Dembele,Mason Greenwood,Arnaud Kalimuendo,Jonathan David,Alexandre Lacazette,Bradley Barcola,Emanuel Emegha,Amine Gouiri,Ludovic Ajorque,Mika Biereth
0,1,2,0,1,0,1,0,1,0,0
1,0,1,0,0,0,2,1,0,0,0
2,0,2,0,0,0,1,1,0,1,0
3,2,0,1,0,0,0,0,0,0,0
4,1,0,1,1,0,0,1,0,0,0
5,0,0,1,3,0,2,0,0,0,0
6,0,0,0,0,0,0,0,0,1,0
7,0,1,0,0,1,1,0,0,0,0
8,0,0,0,1,0,1,0,0,0,0
9,1,1,0,1,0,0,0,0,0,0
10,0,1,0,0,1,2,0,0,0,0
11,0,0,0,0,0,0,0,0,1,0
12,0,1,3,2,3,0,0,1,0,0
13,0,1,0,2,0,0,0,0,1,0
14,1,0,0,0,0,0,0,0,0,0
15,2,0,1,0,0,0,1,0,0,0
16,2,1,1,0,0,0,2,0,1,0
17,0,1,0,0,0,1,1,0,1,0
18,1,0,0,0,0,0,1,1,1,1
19,3,1,0,1,1,0,0,0,1,3
20,2,0,1,0,0,0,1,0,1,0
21,0,1,0,0,1,0,1,2,1,3
22,1,0,1,0,0,0,0,0,0,0
23,1,1,1,1,2,1,1,1,0,3
24,2,0,0,1,0,1,0,0,0,0
25,1,0,0,0,1,0,0,1,0,1
26,0,0,2,0,0,0,1,0,0,1
27,0,1,0,0,1,0,0,0,0,0
28,0,0,1,0,1,0,1,0,2,0
29,0,2,0,2,0,0,0,0,0,0
30,0,0,0,0,1,0,1,3,0,1
31,0,0,1,0,0,1,0,1,0,0
32,0,1,2,0,0,0,0,2,1,0
33,0,2,0,0,2,0,0,0,0,0
